улица 22 Партсъезда
улица 3 Интернационала
улица 3-й Пятилетки
улица 40-летия Комсомола
улица 40-летия Октября
улица 8 Марта
9 Мая улица
Абрикосовая улица
Авангардная улица
Переулок Авейде
улица Авиаторов
Авиационная улица
Автогенный переулок
Автомагистральная улица
Переулок Автоматики
улица Автоматчиков
Автомобильный переулок
улица Автономных Республик
Авторская улица
Агатовая улица
Аграрная улица
Агрегатный переулок
Агрономическая улица
улица Адмирала Ушакова
улица Азина
Азотная улица
улица Айвазовского
улица Академика Бардина
улица Академика Вонсовского
улица Академика Губкина
улица Академика Карпинского
улица Академика Павлова
улица Академика Постовского
проспект Академика Сахарова
бульвар Академика Семихатова Н.А.
улица Академика Ферсмана
улица Академика Шварца
Академическая улица
Акаций переулок
Аквамариновая улица
Акварельная улица
улица Аксакова
улица Акулова
Алданская улица
Александровская улица
улица Алексеева
улица Алексея Стаханова
улица Алексея Толстого
Алма-Атинский переулок
Алмазная улица
Алтайская улица
Альпийская улица
улица Альпинистов
Амбулаторная улица
Аметистовая улица
улица Амундсена
Амурская улица
улица Анатолия Мехренцева
улица Анатолия Муранова
Ангарская улица
улица Анны Бычковой
улица Анри Барбюса
улица Антона Валека
Апельсиновая улица
Аппаратная станция
Аппаратная улица
Аппатитовая улица
Апрельская улица
Аптекарская улица
улица Арамилка
Арамильский тракт
Арамильский переулок
улица Аркадия Гайдара
Армавирская улица
Армянский переулок
Артельный переулок
Артемовский переулок
улица Артиллеристов
Артинская улица
бульвар Архитектора Малахова
Асбестовский переулок
Астраханская улица
Атмосферная улица
Аффинажный переулок
улица Ахматовой
Ачинская улица
Ашхабадский переулок
Аятский переулок
улица Бабушкина
Багарякский переулок
переулок Багратиона
Багровая улица
улица Бажова
Базальтовая улица
Базовый переулок
улица Байдукова
Байкальская улица
Байновская улица
улица Бакинских комиссаров
Балакинский переулок
переулок Балакирева
Балтымский переулок
Банковский переулок
улица Банникова
Банный переулок
Баранчинская улица
Барбарисовый переулок
улица Барвинка
Баррикадная улица
Бархотская улица
Барьерная улица
Батальонная улица
Батумский переулок
улица Баумана
улица Бахчиванджи
Башкирский переулок
улица Бебеля
Безводный переулок
улица Белинского
Белогорская улица
Белорецкий переулок
Белореченская улица
Белоцветная улица
Белоярская улица
Белый переулок
улица Белякова
Береговая улица
Бережная улица
Березовая улица
Березовская улица
улица Березовый ключ
Бессарабская улица
Бесшумный переулок
улица Бетонщиков
улица Бехтерева
Библиотечная улица
Билимбаевская улица
Бирюзовая улица
Бисертская улица
Благодатская улица
улица Блюхера
Бобруйская улица
Бодрый переулок
Боевой переулок
улица Боевых дружин
улица Бокарева
Боковой переулок
Бокситовый проезд
Болгарский переулок
Больничная улица
улица Большакова
улица Большие караси
Бордюрная улица
улица Бориса Ельцина
Боровая улица
улица Бородина
Ботаническая улица
Боткинская улица
Боцманская улица
Братская улица
улица Братьев Быковых
переулок Бригадиров
Брусничная улица
Брянская улица
Букетный переулок
улица Бурильщиков
переулок Буторина
улица Быкова
Вагонный переулок
улица Вайнера
улица Вакина
Валежная улица
улица Вали Котика
Валовой переулок
Варшавская улица
Варяжская улица
переулок Васенко
переулок Василия Баранова
улица Василия Еремина
Васильковая улица
улица Ватутина
Векторная улица
улица Великорусов
улица Венгерских Коммунаров
Вербеновый переулок
Вербная улица
Вербовочный переулок
Вересковый переулок
улица Верещагина
Верх-Исетский бульвар
Верхнемакаровская улица
Верхний переулок
Верхоянская улица
Вершининская улица
Весенняя улица
улица Веснянка
Ветеринарная улица
Ветряная улица
Вечерний переулок
Видная улица
Вижайская улица
Визитная улица
улица Викулова
улица Вилонова
улица Вильгельма де Геннина
Виноградный переулок
Виражный переулок
Висимский переулок
Вишерский переулок
Вишневая улица
Владивостокская улица
улица Владимира Высоцкого
улица Владимира Трошина
Вогульский переулок
Водительский проезд
